Transaction ID,Timestamp,Sender Name,Sender UPI ID,Receiver Name,Receiver UPI ID,Amount (INR),Status,Vendor Area,GST Registered,Rejection Reason,Vendor Category,GST (%),GST vendor Amount (INR),Monthly Income,Likely GST Rejection Reason,Is Threshold Crossed?
4d3db980-46cd-4158-a812-dcb77055d0d2,22-06-2024 04:06,Tiya Mall,4161803452@okaxis,Battery Repair,7776849307@okybl,3907.34,FAILED,Koramangala,Yes,Prefers Cash,Service,18,703.3212,82942.5,Small vendor - under threshold,No
099ee548-2fc1-4811-bf92-559c467ca792,19-06-2024 06:04,Mohanlal Bakshi,8908837379@okaxis,Street Tailor,7683454560@okaxis,8404.55,SUCCESS,Rajajinagar,No,Not Registered for GST,Service,18,1512.819,105722.99,Small vendor - under threshold,No
d4c05732-6b1b-4bab-90b9-efe09d252b99,04-06-2024 04:56,Kismat Bora,4633654150@okybl,Pani Puri Stall,2598130823@okicici,941.88,SUCCESS,Jayanagar,No,Not Registered for GST,Food,5,47.094,103890.95,Small vendor - under threshold,Yes
e8df92ee-8b04-4133-af5a-5f412180c8ab,09-06-2024 09:56,Ayesha Korpal,7018842771@okhdfcbank,Sewing Machine Repair,2246623650@okaxis,8926,SUCCESS,Yeshwantpur,Yes,Registered,Service,18,1606.68,103497.86,Small vendor - under threshold,No
e7d675d3-04f1-419c-a841-7a04662560b7,25-06-2024 08:38,Jivin Batta,1977143985@okybl,Street Barber,5245672729@okybl,2800.55,SUCCESS,Koramangala,No,Prefers Cash,Service,18,504.099,102893.42,Small vendor - under threshold,No
865cfff6-e345-4bae-a4ed-2c35c3a67fc7,17-06-2024 11:24,Kismat Rama,5438757524@okicici,Local Cafe,7567741566@okicici,1865.15,SUCCESS,Rajajinagar,No,Avoiding Tax,Food,5,93.2575,146760.04,Small vendor - under threshold,Yes
10b78cb6-0a05-429a-8cf5-7ac40b97cd37,24-06-2024 20:15,Ivana Tak,0518391082@okaxis,Mobile Recharge,2677492476@okhdfcbank,4829.13,SUCCESS,Jayanagar,No,Avoiding Tax,Service,18,869.2434,119156.63,Small vendor - under threshold,Yes
2582bdc0-4ea3-4a92-8329-72cd84b429f6,23-06-2024 13:01,Sara Khanna,8203474864@oksbi,Flower Seller,9427710364@oksbi,4680.11,FAILED,Jayanagar,No,Avoiding Tax,Supply,12,561.6132,93980.26,Small vendor - under threshold,Yes
9a981fdf-f953-4fc6-8a7d-bfc26f1ea4dc,30-06-2024 08:43,Anvi Dalal,8893886778@okhdfcbank,Sewing Machine Repair,0762409234@okaxis,1563.3,FAILED,Yeshwantpur,No,Not Registered for GST,Service,18,281.394,103497.86,Small vendor - under threshold,No
718cebcd-cec3-49d5-a24b-d4f6df6ca25f,24-06-2024 09:15,Rasha Das,3530841200@okicici,Local Butcher,2825774999@oksbi,6248.55,SUCCESS,Rajajinagar,Yes,Registered,Supply,12,749.826,96606.3,Small vendor - under threshold,Yes
f7392e11-52b1-49b0-8da8-e71128d99808,05-06-2024 18:39,Sumer Chandran,2881077862@oksbi,Plastic Items Seller,3359034997@okicici,1272.55,FAILED,Koramangala,No,Avoiding Tax,Retail,5,63.6275,85134.41,Small vendor - under threshold,Yes
35f5cee7-d7a2-42a7-b94f-1d3e54b0bd2e,17-06-2024 17:16,Raghav Sridhar,5240349344@okhdfcbank,Sewing Machine Repair,0884485131@okaxis,5465.41,FAILED,Whitefield,No,Avoiding Tax,Service,18,983.7738,103497.86,Small vendor - under threshold,No
71ef7fd4-ea73-432e-9f9d-23ce85d33048,28-06-2024 18:08,Nirvaan Zachariah,1391606006@okhdfcbank,Handicrafts Seller,6956979142@okicici,5858.65,SUCCESS,Indiranagar,Yes,Registered,Retail,5,292.9325,131773.59,Small vendor - under threshold,Yes
24159fef-1532-4cef-baf2-a5270e6e61e0,28-06-2024 21:06,Rohan Gola,2532387543@okhdfcbank,Auto Driver,0523734464@okicici,4246.53,SUCCESS,Jayanagar,Yes,Registered,Service,18,764.3754,85232.82,Small vendor - under threshold,Yes
00dd618c-2382-462d-88c5-869eb096094f,06-06-2024 16:30,Eshani Bail,5552406857@okybl,Lassi Stall,7164137631@okybl,6305.8,SUCCESS,Hebbal,Yes,Registered,Food,5,315.29,97730.21,Small vendor - under threshold,Yes
9a986a12-b24f-4269-9ec8-5b4c73212d05,25-06-2024 00:44,Prisha Hora,6719880414@okaxis,Snack Stall,1855834514@okybl,5564.58,FAILED,Rajajinagar,Yes,Avoiding Tax,Food,5,278.229,102317.05,Small vendor - under threshold,Yes
ea5862f0-0edf-4490-976a-958e9799a21c,24-06-2024 04:52,Eshani Ram,3559104422@okicici,Vegetable Seller,2606165966@okhdfcbank,262.72,SUCCESS,Whitefield,No,Avoiding Tax,Supply,12,31.5264,58705.31,Small vendor - under threshold,Yes
299a7bf0-12e0-4f32-85bd-ae7f4ac7af90,07-06-2024 22:14,Nitara Yogi,6536690172@okhdfcbank,Pani Puri Stall,8821754441@okicici,151.42,FAILED,Whitefield,No,Avoiding Tax,Food,5,7.571,103890.95,Small vendor - under threshold,Yes
c03ec1e5-e536-43b4-bf71-71fa84fc4b91,20-06-2024 14:07,Raunak Jaggi,4135909907@oksbi,Auto Driver,1977155980@okicici,3787.73,FAILED,Whitefield,No,Prefers Cash,Service,18,681.7914,85232.82,Small vendor - under threshold,Yes
7eddc148-8755-4901-b31d-8ba5ee895860,01-07-2024 03:57,Rati Sawhney,0595448518@oksbi,Electronics Repair,8231626532@okybl,2675.65,SUCCESS,HSR Layout,No,Prefers Cash,Service,18,481.617,3694.38,Small vendor - under threshold,Yes
46982aee-d402-46bd-96f1-2a181bdd9e78,24-06-2024 00:37,Samaira Mand,4726181930@okicici,Mobile Recharge,6348447507@okicici,5770.18,SUCCESS,Koramangala,Yes,Registered,Service,18,1038.6324,119156.63,Small vendor - under threshold,Yes
6f4d28fd-cb6e-465e-8b18-225b2e743da9,25-06-2024 00:18,Anika Deep,5289057366@okicici,Sticker Shop,6677358228@okicici,1368.23,FAILED,Jayanagar,No,Not Registered for GST,Retail,5,68.4115,69197.56,Small vendor - under threshold,Yes
